current_action,actual_next_action,top1_hit,top3_hit,train_probability
Connexion,"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",0,0,0.002503576537911302
"Changer les coordonnées bancaire, changement de RIB pour les cotisations","Changer les coordonnées bancaire, changement de RIB de bénéficiaire",0,0,0.01757469244288225
Envoi d'un document,Changer les coordonnées bancaire,0,0,0.0131916452913155
Connexion SSO,Envoi d'un message,0,0,0.012983706720977596
Exporter remboursement,"Contactez nous : via message (Mon adhésion, Autres)",0,0,0.0011251758087201125
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
envoi d'une demande de résiliation,Contactez nous : via message (Mes remboursements),0,0,0.01694915254237288
Changer ses informations personnel,Changer les coordonnées bancaire,0,0,0.015
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.0075107296137339056
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Changement de Mot de passe,0,0,0.015817223198594025
Connexion en tant que,Exporter remboursement,0,0,0.019082235347569285
Partager un justificatif du PACS,Télécharger un décompte,0,0,0.018354860639021073
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Exporter remboursement,Téléchargement de la carte de tiers payant,0,0,0.016877637130801686
Validation MFA,Ajout de la carte tiers payant dans le wallet,0,0,0.0025096965548710927
Ajout de la carte tiers payant dans le wallet,Changer ses informations personnel,0,0,0.003424657534246575
Connexion SSO,Contactez nous : via message (Mes cotisations),0,0,0.004582484725050916
Télécharger un décompte,Contactez nous : via message (Mes cotisations),0,0,0.0018552875695732839
Télécharger un décompte,Contactez nous : via message (Mes cotisations),0,0,0.0018552875695732839
Télécharger un décompte,Contactez nous : via message (Mes cotisations),0,0,0.0018552875695732839
Télécharger un décompte,Contactez nous : via message (Mes cotisations),0,0,0.0018552875695732839
Téléchargement de la carte de tiers payant,Changer ses informations personnel,0,0,0.015483182060864922
Validation MFA,Envoi carte TP par mail,0,0,0.019849418206707735
Connexion,Téléchargement carte TP,0,0,0.013471626132570339
Validation MFA,Envoi carte TP par mail,0,0,0.019849418206707735
Validation MFA,demander un renvoi par mail d'échéancier,0,0,0.016655258955053615
Télécharger un décompte,Ouverture d'un document contractuel,0,0,0.019016697588126158
Validation MFA,Contactez nous : via message (Mes remboursements),0,0,0.009126169290440338
Connexion,Envoi d'une réclamation,0,0,0.012994754411063424
Ouverture d'un document contractuel,Changement de Mot de passe,0,0,0.01599654128837008
Changement de Mot de passe,Télécharger le certificat d'adhésion,0,0,0.0075046904315197
Envoi d'un document,Télécharger le certificat d'adhésion,0,0,0.015390252839868083
Exporter remboursement,Ouverture d'un document contractuel,0,0,0.015189873417721518
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
envoi d'une demande de résiliation,Envoi d'un message,0,0,0.015536723163841809
Téléchargement de la carte de tiers payant,Télécharger le certificat d'adhésion,0,0,0.011745862253069941
Télécharger le certificat d'adhésion,Renvoi carte TP papier,0,0,0.01764705882352941
Connexion en tant que,Envoi carte TP par mail,0,0,0.017719218537028625
Connexion,Contactez nous : via message (Mes prises en charge/devis),0,0,0.0033381020505484026
Contactez nous : via message (Mes prises en charge/devis),Contactez nous : via message (Ma carte tiers-payant),0,0,0.018072289156626505
Envoi d'un document,Ajout de la carte tiers payant dans le wallet,0,0,0.00622938805423232
Ajout de la carte tiers payant dans le wallet,Changer l'organisme de rattachement sécu. Social,0,0,0.003424657534246575
Changer l'organisme de rattachement sécu. Social,envoi d'une demande de résiliation,0,0,0.002390057361376673
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,0,0,0.015331747290510176
Connexion,Envoi d'un message,0,0,0.00798760133524082
Connexion,Partager un justificatif du PACS,0,0,0.019432522651406773
Téléchargement de la carte de tiers payant,Ouverture d'un document contractuel,0,0,0.013347570742124934
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.0075107296137339056
Connexion,Déconnexion,0,0,0.007272293752980448
Changement de Mot de passe,Téléchargement carte TP,0,0,0.0031269543464665416
Connexion en tant que,SSO Disconnect,0,0,0.016810540663334848
Ouverture d'un document contractuel,envoi d'une demande de résiliation,0,0,0.0030263726761781237
Changer ses informations personnel,Partager un justificatif du PACS,0,0,0.015
Exporter remboursement,Changement de Mot de passe,0,0,0.015471167369901548
Signature électronique d'un mandat sepa,Exporter remboursement,0,0,0.0050224689399947136
envoi d'une demande de résiliation,Contactez nous : via message (Mes garanties),0,0,0.00423728813559322
Connexion SSO,Ajout de la carte tiers payant dans le wallet,0,0,0.003564154786150713
Téléchargement de la carte de tiers payant,Changer ses informations personnel,0,0,0.015483182060864922
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Signature électronique d'un mandat sepa,Partager un justificatif du PACS,0,0,0.010837959291567539
Signature électronique d'un mandat sepa,Changer ses informations personnel,0,0,0.015331747290510176
Connexion,Contactez nous : via message (Mes remboursements),0,0,0.004291845493562232
Connexion,Contactez nous : via message (Ma carte tiers-payant),0,0,0.001072961373390558
Validation MFA,Envoi d'un message,0,0,0.015058179329226557
Envoi d'un message,envoi d'une demande de résiliation,0,0,0.017699115044247787
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Ouverture d'un document contractuel,0,0,0.015817223198594025
Téléchargement de la carte de tiers payant,Changement de Mot de passe,0,0,0.005339028296849973
Changement de Mot de passe,envoi d'une demande de résiliation,0,0,0.0006253908692933083
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
Connexion SSO,"Contactez nous : via message (Mon adhésion, Autres)",0,0,0.007892057026476579
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.007695126419934042
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
Connexion SSO,Contactez nous : via message (Mes remboursements),0,0,0.009164969450101833
Connexion,Envoi carte TP par mail,0,0,0.010848831664282308
Envoi carte TP par mail,Changer ses informations personnel,0,0,0.008215962441314555
Ouverture d'un document contractuel,Changer l'organisme de rattachement sécu. Social,0,0,0.012537829658452227
Changer l'organisme de rattachement sécu. Social,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.01577437858508604
Connexion,Envoi carte TP par mail,0,0,0.010848831664282308
Connexion en tant que,Téléchargement carte TP,0,0,0.009995456610631531
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.0075107296137339056
Connexion SSO,Contactez nous : via message (Mes prises en charge/devis),0,0,0.004837067209775967
Contactez nous : via message (Mes prises en charge/devis),Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.012048192771084338
Connexion,Contactez nous : via message (Mes garanties),0,0,0.004649499284692418
Contactez nous : via message (Mes garanties),Ouverture d'un document contractuel,0,0,0.007905138339920948
Connexion,Changer les coordonnées bancaire,0,0,0.014425369575584168
Changer ses informations personnel,Partager un justificatif du PACS,0,0,0.015
Changement de Mot de passe,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.012507817385866166
Envoi d'une réclamation,Ouverture d'un document contractuel,0,0,0.017977528089887642
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.007695126419934042
Télécharger un décompte,Envoi carte TP par mail,0,0,0.014842300556586271
Exporter remboursement,Renvoi carte TP papier,0,0,0.00590717299578059
Télécharger un décompte,Ouverture d'un document contractuel,0,0,0.019016697588126158
Ouverture d'un document contractuel,Renvoi carte TP papier,0,0,0.01340250756593169
Télécharger un décompte,Renvoi carte TP papier,0,0,0.011595547309833023
Envoi d'un document,Renvoi carte TP papier,0,0,0.010260168559912056
Ouverture d'un document contractuel,Renvoi carte TP papier,0,0,0.01340250756593169
Exporter remboursement,Envoi d'un document,0,0,0.018565400843881856
Connexion SSO,Contactez nous : via message (Mes cotisations),0,0,0.004582484725050916
Connexion,Partager un justificatif du PACS,0,0,0.019432522651406773
Exporter remboursement,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.00450070323488045
Connexion SSO,Contactez nous : via message (Mes cotisations),0,0,0.004582484725050916
"Contactez nous : via message (Mon adhésion, Autres)",demander un renvoi par mail d'échéancier,0,0,0.01937984496124031
Exporter remboursement,Contactez nous : via message (Mes garanties),0,0,0.0028129395218002813
envoi d'une demande de résiliation,Télécharger un décompte,0,0,0.014124293785310734
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.008702908917501192
Validation MFA,Contactez nous : via message (Mes remboursements),0,0,0.009126169290440338
Envoi d'un message,Exporter remboursement,0,0,0.00663716814159292
Validation MFA,Envoi d'un message,0,0,0.015058179329226557
Contactez nous : via message (Mes remboursements),envoi d'une demande de résiliation,0,0,0.01718213058419244
Changer l'organisme de rattachement sécu. Social,Ouverture d'un document contractuel,0,0,0.0124282982791587
